gene_id/transcript_id	SJINF053_211_withinKeepPairs
SLC25A5-001	2652.7
SLC25A5-003	170.33
SLC25A5-002	12.18
SLC25A5-004	0.0
CCDC109B-001	874.34
CCDC109B-004	4.86
CCDC109B-002	118.57
CCDC109B-003	73.98
CCDC109B-005	53.24
HOXA11-001	1024.38
HOXA11-002	32.34
POLR2J-001	202.35
POLR2J-201	35.14
DHX33-001	737.15
DHX33-004	4.27
DHX33-003	228.33
DHX33-005	0.0
DHX33-002	103.24
MEOX1-001	0.0
MEOX1-201	0.0
MEOX1-003	3.0
MEOX1-002	0.0
THSD7A-004	68.93
THSD7A-001	2640.46
THSD7A-002	0.0
THSD7A-003	0.0
THSD7A-201	0.0
LIG3-002	484.13
LIG3-001	685.04
LIG3-015	1.11
LIG3-007	30.9
LIG3-005	17.36
LIG3-012	24.08
LIG3-014	17.38
LIG3-008	0.0
LIG3-010	5.48
LIG3-009	1.97
LIG3-013	5.15
LIG3-004	20.94
LIG3-011	58.51
LIG3-016	0.0
LIG3-006	10.48
LIG3-003	97.04
RPAP3-001	512.84
RPAP3-003	187.97
RPAP3-002	401.93
RPAP3-006	9.65
RPAP3-007	6.02
RPAP3-005	1.14
RPAP3-004	11.45
ACSM3-001	46.74
ACSM3-002	14.61
ACSM3-013	1.68
ACSM3-008	1.09
ACSM3-014	0.0
ACSM3-004	10.99
ACSM3-003	3.72
ACSM3-009	0.0
ACSM3-011	4.0
ACSM3-007	1.2
ACSM3-005	0.0
ACSM3-010	0.0
ACSM3-012	0.0
ACSM3-006	0.0
ACSM3-015	39.32
AC004381.6-001	0.0
AC004381.6-003	46.06
AC004381.6-020	0.0
AC004381.6-018	5.0
AC004381.6-008	5.37
AC004381.6-013	0.0
AC004381.6-017	27.28
AC004381.6-004	104.29
AC004381.6-011	0.0
AC004381.6-012	0.0
AC004381.6-015	3.73
AC004381.6-002	92.96
AC004381.6-016	13.65
AC004381.6-007	0.0
AC004381.6-019	18.11
AC004381.6-014	1.55
AC004381.6-009	0.0
AC004381.6-010	0.0
AC004381.6-006	0.0
CIAPIN1-001	350.07
CIAPIN1-015	3.47
CIAPIN1-008	33.33
CIAPIN1-007	8.82
CIAPIN1-012	0.0
CIAPIN1-011	64.67
CIAPIN1-003	0.0
CIAPIN1-005	88.03
CIAPIN1-004	200.65
CIAPIN1-013	10.91
CIAPIN1-016	127.23
CIAPIN1-009	22.82
CIAPIN1-002	0.0
CIAPIN1-010	0.0
CIAPIN1-014	0.0
SPPL2B-009	172.0
SPPL2B-015	1.0
SPPL2B-008	4.53
SPPL2B-011	239.99
SPPL2B-012	1252.69
SPPL2B-010	3.05
SPPL2B-013	91.49
SPPL2B-014	57.58
SPPL2B-002	1560.27
SPPL2B-006	360.28
SPPL2B-004	3.62
SPPL2B-005	1874.52
SPPL2B-001	18.97
SPPL2B-007	44.02
FAM214B-003	308.31
FAM214B-005	59.65
