gene_id	test_unc_SRR1559191
ATP13A4	11.8856
ATP13A5	0.4952
ATP1A1	7140.0272
ATP1A2	3.4666
ATP1A3	7341.8348
ATP1A4	0.0000
ATP1B1	6051.0090
ATP1B2	82.2087
ATP1B3	1631.5464
ATP1B4	0.0000
ATP2A1	119.3512
ATP2A2	4309.5209
ATP2A3	363.2537
ATP2B1	879.5345
ATP2B2	213.1980
ATP2B3	153.5223
ATP2B4	1824.4398
ATP2C1	1259.1309
ATP2C2	7.4285
ATP4A	0.7429
ATP4B	0.9905
ATP5A1	7896.0010
ATP5B	8674.0126
ATP5C1	3732.8216
ATP5D	3837.0682
ATP5EP2	26658.4128
ATP5E	37109.0752
ATP5F1	1879.4107
ATP5G1	3553.7947
ATP5G2	10250.5881
ATP5G3	2079.4850
ATP5H	8942.1815
ATP5I	15901.9438
ATP5J2	11668.1936
ATP5J	4155.5033
ATP5L2	270.6450
ATP5L	1966.3241
ATP5O	6982.5430
ATP5SL	1291.3210
ATP5S	102.5133
ATP6AP1L	357.8061
ATP6AP1	4217.1598
ATP6AP2	3037.0187
ATP6V0A1	7771.2022
ATP6V0A2	353.8442
ATP6V0A4	2.4762
ATP6V0B	7224.9598
ATP6V0C	10907.0199
ATP6V0D1	2920.3912
ATP6V0D2	4.9523
ATP6V0E1	2540.5472
ATP6V0E2	2693.8220
